레시피구분,레시피명,열량,식재료명,식재료양
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,새우(꽃새우),8g
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,참기름,4g
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,해바라기씨,3g
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,물엿,1.5g
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,간장(양조간장),1g
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,혼합식용유,1g
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,설탕(백설탕),1g
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,깨(참깨),0.5g
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal,마늘,0.5g
밥류,해물볶음덮밥,열량 : 662.26 kcal,멥쌀(백미),90g
밥류,해물볶음덮밥,열량 : 662.26 kcal,달걀,60g
밥류,해물볶음덮밥,열량 : 662.26 kcal,양배추,50g
밥류,해물볶음덮밥,열량 : 662.26 kcal,오징어,40g
밥류,해물볶음덮밥,열량 : 662.26 kcal,새우살,30g
밥류,해물볶음덮밥,열량 : 662.26 kcal,돈가스소스,20g
밥류,해물볶음덮밥,열량 : 662.26 kcal,부침가루,20g
밥류,해물볶음덮밥,열량 : 662.26 kcal,숙주나물,20g
밥류,해물볶음덮밥,열량 : 662.26 kcal,양파,20g
밥류,해물볶음덮밥,열량 : 662.26 kcal,파(쪽파),5g
밥류,해물볶음덮밥,열량 : 662.26 kcal,콩기름(대두유),4g
밥류,해물볶음덮밥,열량 : 662.26 kcal,김가루,3g
김치류,알타리김치,열량 : 20.5 kcal,김치(총각김치),50g
김치류,포기김치,열량 : 30.4 kcal,김치(배추김치),80g
김치류,깍두기,열량 : 19 kcal,김치(깍두기),50g
무침류,과일샐러드,열량 : 90.21 kcal,"사과(부사, 후지)",20g
무침류,과일샐러드,열량 : 90.21 kcal,바나나,15g
