식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
귀리_겉귀리_도정_생것,388,9.88,8.84,68.03
귀리_쌀귀리_도정_생것,388,11.14,8.9,66.66
귀리_쌀귀리+대양_도정_생것,386,11.51,8.78,66.1
귀리_쌀귀리+조양_도정_생것,390,10.78,9.01,67.23
기장_도정_생것,360,11.2,1.9,74.6
기장_찰기장_도정_생것,371,13.41,3.69,70.0
기장_찰기장+이백찰_도정_생것,373,13.72,4.03,69.49
기장_찰기장+한라찰_도정_생것,373,12.8,4.35,69.78
기장_찰기장+황실찰_도정_생것,368,15.55,3.62,67.42
메밀_도정_생것,363,13.64,3.38,67.84
메밀_도정_분말화한것,374,12.96,3.29,71.36
메밀 국수_생것,291,7.59,0.96,61.14
메밀 국수_말린것,372,13.58,1.27,74.41
메밀 국수_삶은것,124,3.54,0.44,25.73
메밀 국수_말린것을 삶은것,114,4.28,0.4,22.65
메밀 냉면_말린것,360,10.74,1.44,73.66
메밀 냉면_말린것을 삶은것,141,4.22,0.59,28.71
메밀묵_생것,54,1.11,0.41,11.77
메밀묵_분말화한것,371,8.33,2.04,77.39
멥쌀_배아_생것,343,6.5,2.0,75.8
멥쌀_백미_생것,366,6.81,1.05,78.74
멥쌀_백미_분말화한것,378,7.24,1.07,81.07
멥쌀_칠분도미_생것,348,6.3,1.5,76.6
멥쌀_현미_생것,357,7.33,2.23,75.92
멥쌀_흑미_생것,357,7.7,2.21,75.56
멥쌀_고아미2호_백미_생것,362,8.4,2.04,74.3
멥쌀_고아미2호_현미_생것,359,9.17,4.11,71.0
멥쌀_농림나1호_칠분도미_생것,370,5.6,1.9,79.2
멥쌀_농림나1호_현미_생것,371,5.8,4.8,75.3
멥쌀_밭벼_백미_생것,331,9.3,0.9,74.5
멥쌀_밭벼_칠분도미_생것,359,9.5,1.5,73.4
멥쌀_새추청벼_백미_생것,366,6.1,0.2,80.9
멥쌀_발아현미_현미_생것,384,7.22,2.88,81.18
멥쌀_수라벼_백미_생것,346,5.7,0.1,76.7
멥쌀_일미벼_백미_생것,372,7.7,1.0,79.3
멥쌀_일미벼_현미_생것,354,9.0,1.0,76.2
멥쌀_추청벼_백미_생것,360,6.42,1.03,77.63
멥쌀_추청벼_현미_생것,362,6.4,2.7,76.9
멥쌀_큰눈벼_백미_생것,375,6.3,1.0,81.4
멥쌀_큰눈벼_현미_생것,371,7.3,3.0,77.9
멥쌀_통일벼_백미_생것,375,8.3,0.6,80.3
멥쌀_통일벼_현미_생것,362,8.9,1.6,77.2
멥쌀_하이아미_백미_생것,367,7.35,1.05,78.46
멥쌀_하이아미_현미_생것,360,7.41,2.6,75.73
멥쌀_향미벼_백미_생것,368,7.0,0.6,79.9
멥쌀_흑진주벼_현미_생것,369,7.9,2.6,77.7
멥쌀_히토메보레_백미_생것,364,6.5,0.3,80.0
멥쌀_골든퀸3호_백미_생것,354,6.07,0.67,77.23
멥쌀_골든퀸3호_현미_생것,357,6.16,2.01,77.26
멥쌀_호품벼_백미_생것,354,5.91,0.73,77.21
멥쌀_호품벼_현미_생것,343,6.3,1.94,73.94
멥쌀_금강1호_백미_생것,369,6.69,1.1,79.46
멥쌀_금강1호_현미_생것,365,7.08,2.72,77.11
멥쌀_남찬_백미_생것,366,6.85,1.34,78.14
멥쌀_남찬_현미_생것,355,7.25,2.31,75.26
멥쌀_도담쌀_백미_생것,360,6.97,1.14,76.91
멥쌀_도담쌀_현미_생것,356,7.73,2.85,74.15
멥쌀_미품_백미_생것,361,7.77,0.81,76.89
멥쌀_미품_현미_생것,348,8.41,2.07,73.3
멥쌀_보람찬_백미_생것,370,7.16,1.53,78.36
멥쌀_보람찬_현미_생것,355,7.42,2.01,75.74
멥쌀_삼광_백미_생것,367,6.31,0.9,79.71
멥쌀_삼광_현미_생것,358,6.88,2.0,76.98
멥쌀_새일미_백미_생것,366,6.92,1.04,78.57
멥쌀_새일미_현미_생것,357,7.6,2.12,76.0
멥쌀_설갱_백미_생것,363,6.71,1.04,78.14
멥쌀_설갱_현미_생것,356,7.53,2.34,75.36
멥쌀_신동진_백미_생것,361,6.06,1.09,78.01
멥쌀_신동진_현미_생것,350,6.69,1.98,75.24
멥쌀_알찬미_백미_생것,374,6.02,1.57,80.36
멥쌀_알찬미_현미_생것,365,6.91,2.34,78.09
멥쌀_영호진미_백미_생것,371,5.72,1.54,79.87
멥쌀_영호진미_현미_생것,363,6.21,2.32,78.1
멥쌀_예찬_백미_생것,363,6.6,0.75,78.78
멥쌀_예찬_현미_생것,356,7.23,2.47,75.25
멥쌀_오대_백미_생것,371,7.38,0.93,79.46
멥쌀_오대_현미_생것,363,8.07,2.31,76.53
멥쌀_운광_백미_생것,365,6.2,0.99,79.1
멥쌀_운광_현미_생것,355,6.52,2.28,75.94
멥쌀_일품_백미_생것,367,7.06,1.12,78.52
멥쌀_일품_현미_생것,357,7.0,2.18,76.37
멥쌀_친들_백미_생것,364,6.43,0.77,79.09
멥쌀_친들_현미_생것,353,6.97,1.98,75.8
멥쌀_팔방미_백미_생것,366,8.33,0.94,77.32
멥쌀_팔방미_현미_생것,358,9.12,2.65,73.74
멥쌀_한가루_백미_생것,373,7.11,1.05,80.03
멥쌀_한가루_현미_생것,361,7.92,2.2,76.38
멥쌀_한아름4호_백미_생것,369,7.13,0.88,79.3
멥쌀_한아름4호_현미_생것,363,7.56,2.2,77.23
멥쌀_해담쌀_백미_생것,371,6.65,0.93,80.24
멥쌀_해담쌀_현미_생것,366,7.42,2.44,77.58
멥쌀_해들_백미_생것,365,7.33,1.34,77.39
멥쌀_해들_현미_생것,356,8.06,2.34,74.99
멥쌀_해품_백미_생것,362,8.23,0.56,77.3
멥쌀_해품_현미_생것,349,8.71,1.88,73.53
멥쌀_흑진미_현미_생것,357,7.82,2.11,75.82
멥쌀_적진주_현미_생것,360,7.47,2.48,76.01
멥쌀 국수_말린것,380,7.2,0.72,82.36
멥쌀밥_쪄서 말린것,373,5.2,0.1,83.7
멥쌀밥_백미,146,2.65,0.33,31.71
멥쌀밥_칠분도미,160,2.6,0.5,36.7
멥쌀밥_현미,166,3.47,0.96,35.34
멥쌀밥_누룽지,393,6.8,0.2,86.8
멥쌀밥_농림나1호_백미,213,2.2,0.1,48.5
멥쌀밥_농림나1호_현미,201,2.8,0.2,46.1
멥쌀밥_밭벼_백미,157,3.5,0.3,36.1
멥쌀밥_밭벼_현미,156,4.1,1.0,34.3
멥쌀밥_새추청벼_백미,153,2.5,0.1,33.8
멥쌀밥_수라벼_백미,159,2.4,,35.7
멥쌀밥_일품벼_백미,156,2.6,0.1,34.6
멥쌀밥_추청벼_백미,151,2.4,,33.7
멥쌀밥_흑진미_현미,174,3.98,1.01,36.83
멥쌀밥_삼광_백미,146,2.52,0.33,31.71
멥쌀밥_삼광_현미,165,3.5,1.15,34.83
멥쌀밥_새일미_백미,142,2.67,0.25,30.69
멥쌀밥_농림나1호_칠분도미,205,2.5,0.2,46.2
멥쌀밥_새일미_현미,172,3.43,1.08,36.67
멥쌀밥_신동진_백미,147,2.53,0.28,32.17
멥쌀밥_신동진_현미,160,3.15,0.76,34.57
멥쌀밥_오대_백미,151,2.85,0.44,32.28
멥쌀밥_밭벼_칠분도미,155,3.6,0.5,35.7
멥쌀밥_오대_현미,166,3.81,0.87,35.29
밀_도정_생것,333,10.6,1.0,75.8
밀_통밀_생것,342,13.2,1.5,74.6
밀_강력밀가루_분말화한것,334,13.59,1.11,72.89
밀_금강밀_도정_생것,329,13.06,1.28,71.7
밀_박력밀가루_분말화한것,374,9.15,0.94,77.73
밀_신미찰밀_도정_생것,334,11.3,1.6,74.2
밀_중력밀가루_분말화한것,375,10.34,1.01,76.64
밀_통밀가루_분말화한것,412,14.36,5.3,76.69
밀_흑밀_도정_생것,328,12.9,0.9,72.5
밀_카무트_수입산(미국산)_분말화한것,334,13.74,1.91,71.16
국수_생것,291,7.25,0.87,60.09
국수_말린것,368,10.38,1.24,74.41
국수_말린것을 삶은것,123,3.55,0.44,24.7
국수_소면_말린것,370,10.36,1.27,74.88
국수_소면_말린것을 삶은것,126,3.55,0.48,25.36
국수_우동_생것,152,3.15,1.25,30.47
국수_우동_삶은것,131,2.85,0.46,27.3
국수_중국국수_생것,293,7.36,1.06,60.03
국수_중국국수_삶은것,155,4.09,0.53,31.61
국수_중면_말린것,366,10.4,1.21,73.94
국수_중면_말린것을 삶은것,120,3.55,0.4,24.04
국수_쫄면_말린것,348,9.16,1.08,71.29
국수_칼국수_생것,303,7.25,0.87,63.02
국수_칼국수_반정도 말린것,281,6.4,1.4,57.5
국수_칼국수_삶은것,140,3.49,0.43,28.98
파스타_마카로니_말린것,380,12.98,1.53,74.13
파스타_마카로니_말린것을 삶은것,159,5.5,0.62,30.86
파스타_스파게티_말린것,380,12.64,1.47,74.52
파스타_스파게티_말린것을 삶은것,197,8.13,0.88,36.83
보리_분말화한것,357,11.16,1.83,76.48
보리_볶은것,360,12.7,2.6,74.1
보리_껍질 포함_분말화한것,364,10.95,2.99,76.09
보리_겉보리_도정_생것,349,8.75,1.67,76.89
보리_겉보리_조곡_생것,347,11.01,2.37,72.84
보리_겉보리_압맥,343,8.74,1.66,75.38
보리_겉보리_할맥,354,9.3,1.67,77.71
보리_두산8호_도정_생것,352,10.0,1.0,78.0
보리_미숫가루_분말화한것,398,14.52,5.48,76.17
보리_서둔찰보리_도정_생것,354,9.7,1.1,78.5
보리_쌀보리_도정_생것,341,8.66,1.66,75.04
보리_엿기름_말린것,358,14.65,2.71,71.68
보리_찰보리_도정_생것,346,11.87,2.15,72.29
보리_찰보리_할맥,362,8.5,1.0,82.0
보리_늘보리_도정_생것,346,9.79,1.77,75.08
보리_누리찰_도정_생것,340,8.89,1.57,74.77
보리_호강_도정_생것,341,7.8,1.59,75.91
보리_큰알보리1호_도정_생것,345,8.13,1.75,76.39
보리_큰알보리1호_조곡_생것,345,10.39,2.41,72.85
보리_흑수청찰_도정_생것,352,9.38,1.6,77.39
보리_흑수청찰_조곡_생것,349,11.64,2.34,72.82
보리밥_쌀보리,144,3.58,0.73,31.72
보리밥_누리찰,142,3.77,0.72,30.99
보리밥_호강,146,3.39,0.73,32.45
보리밥_겉보리,144,3.55,0.7,31.79
보리밥_큰알보리1호,138,3.17,0.65,30.6
보리밥_흑수청찰,150,3.93,0.75,32.97
