식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
가라지류_가라지_육_생것_여수_6월,78,14.81,1.3,0.69
가리비류_가리비_관자(패주)_삶아서 말린것_대표_평균,334,65.7,1.4,7.6
가리비류_가리비_관자(패주)_생것_대표_평균,91,16.9,0.3,3.5
가리비류_가리비_관자(패주)_얼린것_대표_평균,117,20.8,0.8,2.4
가리비류_가리비_육_말린것_대표_평균,387,77.6,0.4,4.4
가리비류_가리비_육_삶은것_대표_평균,99,17.6,1.9,1.9
가리비류_가리비_육_생것_대표_평균,89,15.18,1.73,0.0
가리비류_가리비_육_통조림_대표_평균,119,21.6,0.3,4.4
가리비류_국자가리비_육_생것_대표_평균,61,10.8,0.8,1.5
가리비류_비단가리비_육_생것_충무_평균,76,14.5,1.0,1.4
가리비류_참가리비_육_생것_대표_6월,75,12.8,1.6,1.56
가리비류_큰가리비_육_생것_대표_평균,67,12.3,0.82,0.0
가리비류_큰가리비_육_생것_부산_5월,88,12.87,2.9,1.53
가리비류_큰가리비_육_생것_양양_1월,81,15.2,1.7,0.2
가리비류_해만가리비_육_생것_자란도_3월,68,3.55,1.01,10.52
가무락조개_육_생것_부산_10월,77,14.14,0.6,2.77
가물치_육_생것_금산_평균,100,18.27,2.09,0.9
가물치_육_생것_대전_평균,86,18.2,0.8,0.3
가시망둑_육_생것_부산_8월,101,22.4,0.7,0.0
가오리류_가오리_육_조미하여 말린것_대표_평균,340,39.3,0.6,35.8
가오리류_나비가오리_육_생것_부산_2월,80,17.3,0.7,0.0
가오리류_노랑가오리_육_생것_부산_3월,97,21.6,0.6,0.0
가오리류_목탁가오리_육_생것_부산_6월,98,22.2,0.5,0.0
가오리류_전기가오리_육_생것_부산_4월,64,13.0,1.0,0.0
가자미류_가자미_육_생것_대표_평균,143,22.1,3.7,0.3
가자미류_각시가자미_육_생것_부산_4월,84,16.8,1.4,0.0
가자미류_갈가자미_육_생것_포항_평균,90,18.3,1.3,0.2
"가자미류_기름가자미(20cm미만)_수컷,육_생것_대표_1월",85,17.77,1.02,0.13
"가자미류_기름가자미(20cm미만)_수컷,육_생것_대표_2월",83,17.69,0.39,1.1
"가자미류_기름가자미(21-24cm)_수컷,육_생것_대표_1월",90,19.42,0.83,0.0
"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_1월",92,19.2,0.93,0.61
"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_2월",82,17.36,0.24,1.58
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_10월",83,17.63,0.64,0.62
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_11월",92,18.51,1.49,0.0
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_12월",95,17.38,2.19,0.16
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_1월",89,19.0,0.94,0.0
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_2월",81,16.45,0.44,1.86
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_3월",102,18.59,1.47,2.27
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_4월",87,17.99,0.99,0.48
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_5월",81,16.34,0.59,1.68
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_6월",88,19.26,0.71,0.0
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_7월",88,17.3,1.55,0.0
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_8월",82,16.6,1.05,0.44
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_9월",90,19.32,0.9,0.0
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_10월",91,18.98,1.21,0.0
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_11월",87,18.51,0.85,0.1
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_12월",86,19.46,0.4,0.13
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_1월",91,18.79,0.85,0.97
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_2월",88,17.81,0.65,1.64
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_3월",92,17.39,0.95,2.37
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_4월",91,18.27,1.46,0.16
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_5월",85,18.25,0.8,0.0
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_6월",85,18.03,0.92,0.0
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_7월",88,17.89,0.96,0.86
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_8월",92,19.08,1.2,0.0
"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_9월",89,19.61,0.66,0.0
