식품명,식재료코드
개암,1010010001
개암/말린것(건조),1010010002
개암/볶은것,1010010003
도토리,1010020001
도토리/국산,1010020002
도토리/외국산,1010020003
"도토리/볶은것, 간것(가루, 분말)",1010020004
"도토리/간것(가루, 분말)",1010020005
땅콩,1010030001
땅콩/국산,1010030002
땅콩/외국산,1010030003
땅콩/볶은것,1010030004
"땅콩/볶은것, 껍질있는것(안깐것)",1010030005
"땅콩/볶은것, 껍질제거(깐것)",1010030006
"땅콩/볶은것, 껍질제거(깐것), 조각낸것",1010030007
"땅콩/볶은것, 조각낸것",1010030008
땅콩/삶은것,1010030009
"땅콩/삶은것, 껍질제거(깐것)",1010030010
땅콩/조미한것,1010030011
"땅콩/간것(가루, 분말)",1010030012
땅콩/껍질있는것(안깐것),1010030013
땅콩/껍질제거(깐것),1010030014
땅콩(피땅콩),1010040001
땅콩(피땅콩)/국산,1010040002
땅콩(피땅콩)/외국산,1010040003
때죽,1010050001
마카다미아,1010060001
마카다미아/말린것(건조),1010060002
마카다미아/조미한것,1010060003
밤,1010070001
밤/일반,1010070002
밤/친환경,1010070003
밤/GAP,1010070004
"밤/김치제조용, 껍질제거(깐것)",1010070005
밤/껍질제거(깐것),1010070006
"밤/껍질제거(깐것), 조각낸것",1010070007
밤/칼집낸것,1010070008
"밤(황률, 건율)",1010080001
"밤(황률, 건율)/일반",1010080002
"밤(황률, 건율)/친환경",1010080003
"밤(황률, 건율)/GAP",1010080004
"밤(황률, 건율)/말린것(건조), 껍질제거(깐것)",1010080005
브라질너트,1010090001
브라질너트/말린것(건조),1010090002
브라질너트/볶은것,1010090003
삼씨,1010100001
아몬드,1010110001
아몬드/말린것(건조),1010110002
"아몬드/말린것(건조), 간것(가루, 분말)",1010110003
아몬드/볶은것,1010110004
아몬드/조미한것,1010110005
아몬드/슬라이스,1010110006
은행,1010120001
은행/껍질제거(깐것),1010120002
잣,1010130001
잣/외국산,1010130002
잣/일반,1010130003
잣/친환경,1010130004
잣/GAP,1010130005
잣/말린것(건조),1010130006
잣/볶은것,1010130007
"잣/간것(가루, 분말)",1010130008
캐슈너트,1010140001
캐슈너트/조미한것,1010140002
피스타치오,1010150001
피칸,1010160001
피칸/말린것(건조),1010160002
피칸/조미한것,1010160003
해바라기씨,1010170001
해바라기씨/말린것(건조),1010170002
해바라기씨/볶은것,1010170003
해바라기씨/조미한것,1010170004
호두,1010180001
호두/국산,1010180002
호두/외국산,1010180003
호두/말린것(건조),1010180004
"호두/말린것(건조), 껍질제거(깐것)",1010180005
호두/볶은것,1010180006
"호두/볶은것, 껍질제거(깐것)",1010180007
"호두/껍질제거(깐것), 다진것",1010180008
"호두/껍질제거(깐것), 조각낸것",1010180009
호박씨,1010190001
호박씨/말린것(건조),1010190002
호박씨/볶은것,1010190003
호박씨/조미한것,1010190004
귀리,1020010001
귀리/일반,1020010002
귀리/친환경,1020010003
귀리/GAP,1020010004
귀리(겉귀리),1020020001
귀리(겉귀리)/일반,1020020002
귀리(겉귀리)/친환경,1020020003
귀리(겉귀리)/GAP,1020020004
귀리(쌀귀리),1020030001
귀리(쌀귀리)/일반,1020030002
귀리(쌀귀리)/친환경,1020030003
귀리(쌀귀리)/GAP,1020030004
기능성기장(칼슘강화),1020040001
기능성멥쌀(가바),1020050001
"기능성멥쌀(강황, 울금)",1020060001
기능성멥쌀(녹차),1020070001
기능성멥쌀(녹차카테킨),1020080001
기능성멥쌀(녹차칼슘),1020090001
기능성멥쌀(다시마),1020100001
기능성멥쌀(단호박카로틴),1020110001
기능성멥쌀(동충하초),1020120001
기능성멥쌀(루테인),1020130001
기능성멥쌀(버섯카로틴),1020140001
기능성멥쌀(브로콜리),1020150001
기능성멥쌀(블루베리),1020160001
기능성멥쌀(상황버섯),1020170001
기능성멥쌀(상황버섯발아현미),1020180001
기능성멥쌀(쌀눈),1020190001
기능성멥쌀(아미노산강화),1020200001
기능성멥쌀(칼슘강화),1020210001
기능성멥쌀(칼슘철분강화),1020220001
기능성멥쌀(클로렐라),1020230001
기능성멥쌀(토마코펜),1020240001
기능성멥쌀(현미쑥),1020250001
기능성멥쌀(홍국균),1020260001
기능성멥쌀(황금쌀),1020270001
기능성찹쌀(가바),1020280001
"기능성찹쌀(강황, 울금)",1020290001
기능성찹쌀(녹차),1020300001
기능성찹쌀(녹차카테킨),1020310001
기능성찹쌀(녹차칼슘),1020320001
기능성찹쌀(다시마),1020330001
기능성찹쌀(단호박카로틴),1020340001
기능성찹쌀(동충하초),1020350001
기능성찹쌀(루테인),1020360001
기능성찹쌀(버섯카로틴),1020370001
기능성찹쌀(브로콜리),1020380001
