나이,성별,신장,체중,활동량계수,BMR,에너지 섭취량(Kcal),일일 칼로리 잉여/적자
70.0,2.0,151.2,41.8,1.0,1359.26,922.289957842484,-436.970042157516
42.0,1.0,172.5,67.7,1.0,2269.657,2243.3916410842457,-26.265358915754405
38.0,2.0,160.9,43.4,1.0,1665.778,1649.091552459909,-16.686447540090967
34.0,2.0,162.8,68.4,1.0,1941.212,1501.2157185143865,-439.9962814856135
46.0,1.0,165.3,62.0,1.15,2383.7556199999995,1874.7737500534768,-508.9818699465227
43.0,1.0,170.7,77.0,1.0,2398.3772,2127.3648357435195,-271.0123642564804
51.0,2.0,149.6,54.2,1.0,1594.9979999999998,1279.208569045978,-315.7894309540218
34.0,2.0,172.2,55.9,1.15,2158.4653999999996,1496.6703821617032,-661.7950178382964
33.0,2.0,161.9,55.9,1.15,2079.3806999999997,1584.3771986157965,-495.0035013842032
32.0,1.0,180.1,75.0,1.0,2522.1096,2234.162957473612,-287.9466425263877
41.0,2.0,163.0,66.2,1.0,1873.7019999999998,1351.085943672688,-522.6160563273118
67.0,2.0,147.1,38.7,1.15,1535.7346999999997,858.4690345078761,-677.2656654921236
34.0,2.0,163.6,83.0,1.0,2083.676,2152.8338637304805,69.15786373048059
34.0,2.0,154.7,93.0,1.0,2112.662,1683.0497999999998,-429.61220000000003
71.0,1.0,170.1,71.3,1.15,2345.44899,2400.702522879538,55.25353287953794
68.0,2.0,157.0,54.1,1.0,1530.3159999999998,1616.0146983153584,85.69869831535857
67.0,2.0,153.0,60.7,1.0,1569.962,1576.0027279987946,6.040727998794637
32.0,2.0,163.4,56.6,1.15,2106.3489999999997,1584.859518212039,-521.4894817879608
59.0,2.0,158.2,55.8,1.0,1617.1299999999997,990.383521153846,-626.7464788461537
63.0,2.0,148.7,57.4,1.26,1955.87076,1818.9143042016212,-136.95645579837878
60.0,2.0,157.0,52.4,1.15,1814.2265999999995,1444.5148440156463,-369.7117559843532
37.0,2.0,159.4,57.2,1.0,1790.966,1751.192327361644,-39.77367263835595
