,레시피구분,레시피명,열량
0,볶음류,건새우해바라기씨볶음,100.91
1,밥류,해물볶음덮밥,662.26
2,김치류,알타리김치,20.5
3,김치류,포기김치,30.4
4,김치류,깍두기,19.0
5,무침류,과일샐러드,90.21
6,부침류,게맛살계란말이,36.46
7,밥류,열무보리비빔밥,413.7
8,면류,채식토마토파스타,292.98
9,면류,양평밀국수,317.34
10,볶음류,채식유산슬,98.69
11,조림류,새송이버섯장조림,51.72
12,국류,콩가루배추국,44.43
13,밥류,냉이 강된장비빔밥,453.3
14,밥류,버섯카레라이스,508.44
15,부침류,채소동그랑땡전,180.75
16,국류,순두부청국장찌개,83.08
17,국류,호박된장국,38.59
18,구이류,두부구이,211.7
19,부침류,두부완자전,333.3
20,밥류,봄나물비빔밥,411.42
21,조림류,매생이 표고버섯조림,76.79
22,국류,우거지숙주토장국,69.14
23,국류,메밀수제비,81.8
24,면류,들깨버섯수제비국,65.5
25,무침류,브로콜리햄샐러드,112.39
26,국류,감자옹심이국,46.46
27,국류,미역장국,14.85
28,밥류,야채볶음밥(소),257.47
29,찜류,청경채양념찜,25.8
30,밥류,나물된장비빔밥,299.02
31,국류,감자양파국,164.66
32,부침류,녹두빈대떡,219.35
33,밥류,스팸김밥,441.95
34,구이류,두부함박스테이크,359.43
35,면류,들깨수제비국,42.12
36,국류,팽이버섯유부국,97.62
37,찜류,두부선,103.81
38,국류,버섯들깨탕,126.44
39,튀김류,표고버섯탕수,232.93
40,밥류,산채비빔밥,508.65
41,국류,냉이된장국,29.45
42,국류,우거지된장국,188.28
43,국류,콩나물국,32.75
44,밥류,콩나물밥/양념장,268.25
45,무침류,저염배추겉절이,19.9
46,무침류,마늘장아찌,39.55
47,밥류,소고기고사리볶음밥,239.62
48,구이류,인도풍탄두리치킨,169.92
49,보조식,컵과일,52.8
50,보조식,식혜(설날),3.2
51,찜류,훈제오리찜,250.9
52,볶음류,호박새우젓볶음,29.13
53,부침류,호박전,113.99
54,부침류,햄전,124.9
55,김치류,피클,30.8
56,무침류,푸실리샐러드,94.19
57,무침류,파프리카잡채,49.81
58,무침류,방울토마토샐러드,93.52
59,무침류,토마토샐러드,59.48
60,구이류,탄두리치킨,105.86
61,무침류,코울슬로샐러드,98.99
62,튀김류,치즈등심돈가스,119.15
63,무침류,취나물잡채,81.92
64,무침류,참나물샐러드,32.86
65,밥류,짬뽕덮밥,338.6
66,국류,장터국밥,181.87
67,김치류,오이피클(완),27.3
68,무침류,양상추샐러드,8.85
69,무침류,양배추샐러드,13.9
70,무침류,양배추비트샐러드,25.78
71,김치류,양념깻잎지,27.86
72,무침류,아보카도두부샐러드,185.33
73,보조식,식혜,28.95
74,무침류,블루베리샐러드,34.75
75,무침류,배추겉절이,11.4
76,보조식,바나나,46.2
77,볶음류,멸치견과류볶음,109.04
78,부침류,메밀전병(완),119.1
79,부침류,한입메밀전병,152.7
80,부침류,메밀전병,241.2
81,무침류,만다린샐러드,40.05
82,김치류,마늘종장아찌,35.4
83,조림류,떡갈비조림,221.05
84,구이류,두부양념구이,77.79
85,구이류,두부구이/간장양념장,58.14
86,구이류,들기름손두부구이,95.52
87,국류,돼지국밥,119.29
88,무침류,돼지고기파프리카잡채,89.02
89,조림류,닭감자고추장조림,148.19
90,무침류,단호박샐러드,184.58
91,면류,김치수제비,236.93
92,무침류,포도연어샐러드,57.0
93,보조식,오미자주스,67.8
94,구이류,뱅어포양념구이,91.8
95,보조식,무지개떡,114.5
96,구이류,달걀말이,96.61
97,면류,라면사리,89.0
98,밥류,흑미밥,328.05
99,국류,황태해장국,71.59
100,국류,홍합탕,89.02
101,국류,홍합미역국,27.09
102,밥류,현미찹쌀밥,363.75
103,무침류,풋고추된장무침,32.95
104,무침류,콩나물잡채,102.04
105,무침류,콩나물무침,32.89
106,국류,조갯살냉이된장국,55.39
107,밥류,옥수수밥,353.3
108,밥류,쌀밥,274.2
109,보조식,수정과,89.0
110,무침류,삼색겨자냉채,251.31
111,국류,사골우거지국,176.69
112,밥류,보리밥(80g),326.8
113,밥류,보리밥(100g),368.1
114,보조식,삶은달걀,81.81
115,밥류,보리밥,400.15
116,김치류,백김치,14.8
117,김치류,배추김치,15.2
118,밥류,발아현미밥,366.4
119,보조식,떠먹는 요구르트(플레인),71.2
120,김치류,동치미,3.2
121,무침류,도라지오이무침,41.45
122,무침류,꽃맛살과일샐러드,207.85
123,무침류,꼬들단무지무침,34.85
124,밥류,기장보리밥,354.45
125,밥류,곤드레밥,432.66
126,무침류,고구마순들깨나물,62.93
127,국류,건새우근대국,59.05
128,밥류,강황밥,328.97
129,찜류,갈비만두찜,177.12
130,김치류,갓김치,12.95
131,조림류,소고기우엉채조림,95.2
132,볶음류,버섯소불고기,113.99
133,무침류,소고기잡채,96.98
134,밥류,삼색도리아,479.86
135,국류,조랭이떡국,35.24
136,구이류,함박스테이크구이,175.83
137,밥류,오므라이스,307.95
138,볶음류,오이뱃두리,38.8
139,국류,맑은육개장,47.73
140,구이류,수제함박스테이크,104.43
141,볶음류,소고기브로콜리볶음,92.33
142,죽류,소고기 누룽지채소죽,32.84
143,볶음류,소고기버섯볶음,108.59
144,죽류,소고기브로콜리죽,175.26
145,죽류,소고기버섯죽,173.42
146,볶음류,소고기채소볶음,52.73
147,밥류,양송이덮밥,499.42
148,죽류,콩나물죽,177.41
149,면류,골뱅이비빔면,379.65
150,볶음류,소고기가지볶음,74.04
151,밥류,장조림덮밥,259.7
152,찜류,소고기영양찜,146.38
153,조림류,소고기장조림,95.79
154,볶음류,소고기청경채볶음,100.13
155,죽류,건강채소죽,264.59
156,밥류,소고기주먹밥,227.16
157,볶음류,소고기당면볶음,144.1
158,부침류,연근소고기전,102.7
159,볶음류,소고기파프리카볶음,168.12
160,국류,소고기맑은국,49.82
161,국류,경상도식소고기국,79.93
162,국류,소고기무국,161.83
163,국류,소고기당면국,179.8
164,국류,얼큰소고기무국,78.95
165,국류,육개장/당면,168.47
166,국류,나주곰탕/당면사리,167.68
167,국류,곰탕,213.84
168,무침류,차돌박이파,125.45
169,무침류,우삼겹겉절이,378.29
170,면류,열무물국수,339.11
171,국류,소면설렁탕,159.47
172,국류,감자풋고추국,72.99
173,국류,소고기쑥된장국,88.49
174,국류,육개장,199.56
175,국류,한우소고기뭇국,72.57
176,밥류,소고기미역국밥,181.73
177,면류,버섯칼국수,307.83
178,면류,소고기양지쌀국수,240.1
179,국류,차돌된장찌개,148.24
180,면류,소고기쌀국수,347.79
181,국류,콩나물소고기무국,79.93
182,면류,양지쌀국수,238.29
183,국류,소고기육개장죽,344.16
184,면류,미니양지쌀국수,263.59
185,국류,차돌박이짬뽕국,139.61
186,무침류,차돌박이 샐러드,91.9
187,볶음류,차돌박이숙주볶음,252.32
188,볶음류,버섯잡채,97.96
189,볶음류,고추잡채/꽃빵,124.48
190,볶음류,소고기떡잡채,149.84
191,볶음류,맛불고기잡채,229.49
192,무침류,타이식소고기와오이샐러드,111.55
193,밥류,단풍사색덮밥,588.82
194,구이류,미니함박스테이크,260.23
195,볶음류,떡잡채,187.74
196,구이류,햄버거스테이크와김치소스,184.87
197,볶음류,언양식바싹불고기,157.16
198,볶음류,소고기뚝배기불고기,259.72
199,볶음류,국물불고기,184.91
200,볶음류,떡앤치즈,13.96
201,구이류,불고기구이,305.08
202,볶음류,소고기버섯불고기,171.79
203,국류,소고기버섯전골,87.45
204,밥류,소고기카레라이스,648.88
205,구이류,눈꽃소고기함박스테이크,264.52
206,튀김류,소고기가래떡탕수,591.1
207,튀김류,소고기브로콜리탕수,266.06
208,볶음류,소불고기떡볶음,243.75
209,볶음류,소고기우스타소스볶음,171.72
210,무침류,소고기샐러드,144.18
211,볶음류,우삼겹청경채볶음,168.87
212,국류,차돌두부된장찌개,37.62
213,구이류,함박스테이크(파인애플&amp;방울토마토 토핑),184.57
214,구이류,떡갈비구이(수제),211.05
215,밥류,소불고기브리또,431.27
216,구이류,치즈함박스테이크,187.63
217,구이류,눈꽃치즈함박스테이크,191.65
218,구이류,김치치즈함박스테이크,236.85
219,구이류,체다함박스테이크,190.73
220,볶음류,소고기채파프리카볶음,107.76
221,밥류,브리또,431.27
222,볶음류,궁중떡볶음,136.6
223,구이류,파인애플함박스테이크,179.73
224,볶음류,소고기양배추볶음,123.03
225,밥류,나물비빔밥,331.9
226,국류,떡국,144.27
227,국류,소고기미역국,58.23
228,볶음류,불고기,176.91
229,볶음류,서울식불고기&amp;당면사리,188.16
230,볶음류,파채소고기볶음,304.89
231,죽류,소고기채소죽,146.71
232,조림류,소고기마늘장조림,153.15
233,국류,설렁탕,86.28
234,찜류,소고기떡찜,106.25
235,국류,갈비탕/당면,174.18
236,찜류,단호박사태찜,185.3
237,국류,소고기달걀떡국,222.52
238,국류,소고기떡국,222.52
239,국류,달걀떡국,222.52
240,국류,사골떡국,214.02
241,국류,우거지해장국,111.13
242,국류,갈비탕,362.33
243,국류,제주도식해장국,60.94
244,찜류,궁중갈비찜,196.46
245,국류,버섯들깨매운탕,96.44
246,국류,콩나물소고기국,105.23
247,면류,쌀국수,185.22
248,국류,시래기해장국,116.66
249,국류,대파육개장,181.4
250,볶음류,숙주우엉잡채,36.59
251,튀김류,중국식어향가지볶음,88.54
252,국류,차돌박이육개장,134.92
253,볶음류,우채표고볶음,353.84
254,국류,토마소소고기스튜,341.32
255,볶음류,소불고기낙지볶음,383.39
256,볶음류,소고기셀러리볶음,205.86
257,볶음류,알감자강정,100.92
258,볶음류,우불당면볶음,404.76
259,구이류,소고기찹스테이크,272.14
260,무침류,어린이고사리나물,91.28
261,볶음류,언양식숯불불고기,347.0
262,볶음류,소불고기당면볶음,574.67
263,구이류,떡갈비구이,112.04
264,국류,소고기토란탕,106.36
