레시피구분,레시피명,열량
볶음류,건새우해바라기씨볶음,열량 : 100.91 kcal
밥류,해물볶음덮밥,열량 : 662.26 kcal
김치류,알타리김치,열량 : 20.5 kcal
김치류,포기김치,열량 : 30.4 kcal
김치류,깍두기,열량 : 19 kcal
무침류,과일샐러드,열량 : 90.21 kcal
부침류,게맛살계란말이,열량 : 36.46 kcal
밥류,열무보리비빔밥,열량 : 413.7 kcal
면류,채식토마토파스타,열량 : 292.98 kcal
면류,양평밀국수,열량 : 317.34 kcal
볶음류,채식유산슬,열량 : 98.69 kcal
조림류,새송이버섯장조림,열량 : 51.72 kcal
국류,콩가루배추국,열량 : 44.43 kcal
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal
밥류,버섯카레라이스,열량 : 508.44 kcal
부침류,채소동그랑땡전,열량 : 180.75 kcal
국류,순두부청국장찌개,열량 : 83.08 kcal
국류,호박된장국,열량 : 38.59 kcal
구이류,두부구이,열량 : 211.7 kcal
부침류,두부완자전,열량 : 333.3 kcal
밥류,봄나물비빔밥,열량 : 411.42 kcal
조림류,매생이 표고버섯조림,열량 : 76.79 kcal
국류,우거지숙주토장국,열량 : 69.14 kcal
국류,메밀수제비,열량 : 81.8 kcal
면류,들깨버섯수제비국,열량 : 65.5 kcal
무침류,브로콜리햄샐러드,열량 : 112.39 kcal
국류,감자옹심이국,열량 : 46.46 kcal
국류,미역장국,열량 : 14.85 kcal
밥류,야채볶음밥(소),열량 : 257.47 kcal
찜류,청경채양념찜,열량 : 25.8 kcal
밥류,나물된장비빔밥,열량 : 299.02 kcal
국류,감자양파국,열량 : 164.66 kcal
부침류,녹두빈대떡,열량 : 219.35 kcal
밥류,스팸김밥,열량 : 441.95 kcal
구이류,두부함박스테이크,열량 : 359.43 kcal
면류,들깨수제비국,열량 : 42.12 kcal
국류,팽이버섯유부국,열량 : 97.62 kcal
찜류,두부선,열량 : 103.81 kcal
국류,버섯들깨탕,열량 : 126.44 kcal
튀김류,표고버섯탕수,열량 : 232.93 kcal
밥류,산채비빔밥,열량 : 508.65 kcal
국류,냉이된장국,열량 : 29.45 kcal
국류,우거지된장국,열량 : 188.28 kcal
국류,콩나물국,열량 : 32.75 kcal
밥류,콩나물밥/양념장,열량 : 268.25 kcal
무침류,저염배추겉절이,열량 : 19.9 kcal
무침류,마늘장아찌,열량 : 39.55 kcal
밥류,소고기고사리볶음밥,열량 : 239.62 kcal
기타,토마토바질샐러드,열량 : 71.85 kcal
구이류,인도풍탄두리치킨,열량 : 169.92 kcal
보조식,컵과일,열량 : 52.8 kcal
보조식,식혜(설날),열량 : 3.2 kcal
찜류,훈제오리찜,열량 : 250.9 kcal
볶음류,호박새우젓볶음,열량 : 29.13 kcal
부침류,호박전,열량 : 113.99 kcal
부침류,햄전,열량 : 124.9 kcal
김치류,피클,열량 : 30.8 kcal
김치류,피클,열량 : 27.3 kcal
김치류,피클,열량 : 46.2 kcal
무침류,푸실리샐러드,열량 : 94.19 kcal
무침류,파프리카잡채,열량 : 49.81 kcal
무침류,방울토마토샐러드,열량 : 93.52 kcal
무침류,토마토샐러드,열량 : 59.48 kcal
구이류,탄두리치킨,열량 : 105.86 kcal
구이류,탄두리치킨,열량 : 151.84 kcal
무침류,코울슬로샐러드,열량 : 98.99 kcal
보조식,컵과일,열량 : 28.8 kcal
튀김류,치즈등심돈가스,열량 : 119.15 kcal
무침류,취나물잡채,열량 : 81.92 kcal
무침류,참나물샐러드,열량 : 32.86 kcal
밥류,짬뽕덮밥,열량 : 338.6 kcal
국류,장터국밥,열량 : 181.87 kcal
김치류,오이피클(완),열량 : 27.3 kcal
무침류,양상추샐러드,열량 : 8.85 kcal
무침류,양상추샐러드,열량 : 9.65 kcal
무침류,양배추샐러드,열량 : 13.9 kcal
무침류,양배추샐러드,열량 : 16.55 kcal
무침류,양배추비트샐러드,열량 : 25.78 kcal
김치류,양념깻잎지,열량 : 27.86 kcal
무침류,아보카도두부샐러드,열량 : 185.33 kcal
소스류,쌈장,열량 : 49.33 kcal
보조식,식혜,열량 : 28.95 kcal
무침류,블루베리샐러드,열량 : 34.75 kcal
무침류,배추겉절이,열량 : 11.4 kcal
보조식,바나나,열량 : 46.2 kcal
볶음류,멸치견과류볶음,열량 : 109.04 kcal
부침류,메밀전병(완),열량 : 119.1 kcal
부침류,한입메밀전병,열량 : 152.7 kcal
부침류,메밀전병,열량 : 241.2 kcal
무침류,만다린샐러드,열량 : 40.05 kcal
김치류,마늘종장아찌,열량 : 35.4 kcal
김치류,마늘종장아찌,열량 : 47.2 kcal
김치류,마늘종장아찌,열량 : 41.3 kcal
빵류,마늘빵,열량 : 53.67 kcal
조림류,떡갈비조림,열량 : 221.05 kcal
소스류,들기름양념장,열량 : 15.7 kcal
구이류,두부양념구이,열량 : 77.79 kcal
구이류,두부구이/간장양념장,열량 : 58.14 kcal
구이류,들기름손두부구이,열량 : 95.52 kcal
구이류,두부구이,열량 : 47.4 kcal
국류,돼지국밥,열량 : 119.29 kcal
무침류,돼지고기파프리카잡채,열량 : 89.02 kcal
조림류,닭감자고추장조림,열량 : 148.19 kcal
무침류,단호박샐러드,열량 : 184.58 kcal
면류,김치수제비,열량 : 236.93 kcal
무침류,과일샐러드,열량 : 68.16 kcal
소스류,간장양념장,열량 : 14.98 kcal
무침류,포도연어샐러드,열량 : 57 kcal
보조식,오미자주스,열량 : 67.8 kcal
구이류,뱅어포양념구이,열량 : 91.8 kcal
구이류,뱅어포양념구이,열량 : 62.76 kcal
보조식,무지개떡,열량 : 114.5 kcal
